fon_kodu;fon_adi;kanal;islem_tipi;tarih;pay_sayisi;fiyat
YAS;YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-09-21;407,0;9.81484
TI3;İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-09-21;40000,0;0.0775222669
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2023-10-05;916,0;2.186362
GOH;GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2023-10-05;215,0;9.267255
IDH;İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2023-10-05;745,0;6.768311
ZJL;ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);YKB;ALIM;2023-10-05;200,0;7.387112
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;VKF;ALIM;2023-10-09;1610,0;0.403596
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;VKF;ALIM;2023-10-09;867,0;0.403596
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;VKF;ALIM;2023-10-09;3497,0;0.285895
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;YKB;ALIM;2023-10-10;2,0;487.588712
ZDZ;ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON;VKF;ALIM;2023-10-11;588,0;8.49884
YAS;YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-10-11;91,0;10.878272
TI3;İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-10-11;20000,0;0.087176101
TCD;TACİRLER PORTFÖY DEĞIŞKEN FON;VKF;ALIM;2023-10-11;166,0;29.945149
BID;QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-10-11;452,0;2.209011
NRC;NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;VKF;ALIM;2023-10-11;837,0;7.163688
GOH;GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-10-11;106,0;9.379756
ZJL;ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);VKF;ALIM;2023-10-11;100,0;7.541406
